Company Name,Near term - Target Year search terms,Long term - Target Year search terms,Net-Zero Year search terms,variable,value,Near term - Target Year match,Long term - Target Year match,Net-Zero Year match
Cartaseta AG,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Cartaseta AG commits to reduce scope 1 and scope 2 GHG emissions 23% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
"Carter's, Inc.",['2030'],,,0,"Carter’s, Inc",,,
"Carter's, Inc.",['2030'],,,1,commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year,x,,
"Carter's, Inc.",['2030'],,,2,"Carter’s, Inc",,,
"Carter's, Inc.",['2030'],,,3,also commits that 77% of its suppliers by spend covering purchased goods and services will have science-based targets by 2027,,,
Casday (Thailand) Corporation Limited,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Casday (Thailand) Corporation Limited,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Casday (Thailand) Corporation Limited commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
Casino Guichard Perrachon SA,['2025'],,,0,French mass-retail Group Casino group commits to reduce absolute scope 1 and 2 GHG emissions 18% by 2025 from a 2015 base year,x,,
Casino Guichard Perrachon SA,['2025'],,,1,Casino group commits to reduce absolute scope 3 GHG emissions from purchased goods and services 10% by 2025 from a 2018 base year,x,,
Casino Guichard Perrachon SA,['2025'],,,2,Casino group also commits to reduce absolute scope 3 GHG emissions from use of sold products 10% by 2025 from a 2018 base year,x,,
Castellum AB,['2030'],,,0,"Castellum commits to reduce absolute scope 1, 2, and 3 GHG emissions 100% by 2030 from a 2017 base year",x,,
Castlemead Insurance Brokers,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Castlemead Insurance Brokers,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Castlemead Insurance Brokers commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
Castrén & Snellman Attorneys Ltd,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Castrén & Snellman Attorneys Ltd,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Castrén & Snellman Attorneys Ltd,,,
Castrén & Snellman Attorneys Ltd,['2030'],,,2,"commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Catena AB,['2030'],,,0,"Catena AB commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"Cathay Financial Holding Co., Ltd",['2030'],,,0,Headline target: Cathay FHC's portfolio targets cover 46% of its total investment and lending activities by monetary value as of 2020,,,
"Cathay Financial Holding Co., Ltd",['2030'],,,1,https://sciencebasedtargets.org/resources/files/Target-language-and-summary_Cathay-Financial-Holdings-Co,,,
"Cathay Financial Holding Co., Ltd",['2030'],,,2,-Ltd,,,
"Cathay Financial Holding Co., Ltd",['2030'],,,3,docx,,,
"Cathay Financial Holding Co., Ltd",['2030'],,,4,pdf,,,
Celestica,['2025'],,,0,Celestica commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2025 from a 2018 base year,x,,
Celestica,['2025'],,,1,"Celestica also commits to reduce absolute scope 3 GHG emissions from fuel and energy related activities, purchased goods and services, and upstream and downstream transportation and distribution 10% by 2025 from a 2018 base year",x,,
Cementir Holding N.V.,['2030'],,,0,Cementir Holding N.V. commits to reduce scope 1 and 2 GHG emissions 25% per ton of cementitious products by 2030 from a 2020 base year*,x,,
Cementir Holding N.V.,['2030'],,,1,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Cemminerals,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Cemminerals,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Cemminerals commits to reduce absolute scope 1 and scope 2 GHG emissions 28% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
Cermaq Group,['2030'],,,0,"Cermaq Group AS commits to reduce absolute scope 1, scope 2, and scope 3 GHG emissions 35% by 2030 from a 2019 base year",x,,
Cermaq Group,['2030'],,,1,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
"Changzhou Wuitu Smart Technology Co.,Ltd.",['2030'],,,0,"""This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs)",,,
"Changzhou Wuitu Smart Technology Co.,Ltd.",['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Changzhou Wuitu Smart Technology Co,,,
"Changzhou Wuitu Smart Technology Co.,Ltd.",['2030'],,,2,",Ltd",,,
"Changzhou Wuitu Smart Technology Co.,Ltd.",['2030'],,,3,"Commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"Charles River Laboratories, Inc.",['2030'],,,0,"Charles River Laboratories, Inc",,,
"Charles River Laboratories, Inc.",['2030'],,,1,commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2018 base year,x,,
"Charles River Laboratories, Inc.",['2030'],,,2,"Charles River Laboratories, Inc",,,
"Charles River Laboratories, Inc.",['2030'],,,3,commits to increase annual sourcing of renewable electricity from 1% in 2018 to 100% by 2030,x,,
"Charles River Laboratories, Inc.",['2030'],,,4,"Charles River Laboratories, Inc",,,
"Charles River Laboratories, Inc.",['2030'],,,5,further commits to reduce absolute scope 3 GHG emissions 15% by 2030 from a 2019 base year,x,,
"Charles River Laboratories, Inc.",['2030'],,,6,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
"Checkerspot, Inc.",['2030'],['2050'],['2050'],0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"Checkerspot, Inc.",['2030'],['2050'],['2050'],1,"https://sciencebasedtargets.org/faqs-for-smes/  Checkerspot, Inc",,,
"Checkerspot, Inc.",['2030'],['2050'],['2050'],2,"commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
"Checkerspot, Inc.",['2030'],['2050'],['2050'],3," Checkerspot, Inc",,,
"Checkerspot, Inc.",['2030'],['2050'],['2050'],4,commits to reduce scope 1+2+3 emissions 90% by 2050 from a 2020 base year,,x,x
Chemisches Laboratorium Dr. Kurt Richter GmbH,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Chemisches Laboratorium Dr. Kurt Richter GmbH,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Chemisches Laboratorium Dr,,,
Chemisches Laboratorium Dr. Kurt Richter GmbH,['2030'],,,2,"Kurt Richter GmbH commits to reduce scope 1 and scope 2 GHG emissions 23% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
Chicony Electronics Co. Ltd.,['2030'],,,0,Chicony Electronics Co,,,
Chicony Electronics Co. Ltd.,['2030'],,,1,", Ltd commits to reduce scope 1 and 2 GHG emissions 56",,,
Chicony Electronics Co. Ltd.,['2030'],,,2,"8 % per million NTD revenue by 2030 from a 2020 base year, equivalent to 42% in absolute emissions",x,,
Chicony Electronics Co. Ltd.,['2030'],,,3,Chicony Electronics Co,,,
Chicony Electronics Co. Ltd.,['2030'],,,4,", Ltd also commits to reduce scope 3 GHG emissions from use of sold product 44",,,
Chicony Electronics Co. Ltd.,['2030'],,,5,"2% per million NTD revenue within the same time frame, equivalent to 25% in absolute emissions",,,
"Chicony Power Technology Co., Ltd.",['2030'],,,0,Chicony Power Technology Co,,,
"Chicony Power Technology Co., Ltd.",['2030'],,,1,", Ltd commits to reduce scope 1 and 2 GHG emissions 56",,,
"Chicony Power Technology Co., Ltd.",['2030'],,,2,"8 % per million NTD revenue by 2030 from a 2020 base year, which equates to 42% in absolute emissions",x,,
"Chicony Power Technology Co., Ltd.",['2030'],,,3,Chicony Power Technology Co,,,
"Chicony Power Technology Co., Ltd.",['2030'],,,4,", Ltd also commits to reduce scope 3 GHG emissions from use of sold products for power supply 44",,,
"Chicony Power Technology Co., Ltd.",['2030'],,,5,"2% per million NTD revenue within the same timeframe, which equates to 25% in absolute emissions",,,
Chiesi Farmaceutici S.p.A.,"['2030', '2035']",,,0,Chiesi commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year,x,,
Chiesi Farmaceutici S.p.A.,"['2030', '2035']",,,1,* Chiesi commits to reduce scope 3 GHG emissions from use of sold products 22% per unit of respiratory product sold by 2030 from a 2019 base year,x,,
Chiesi Farmaceutici S.p.A.,"['2030', '2035']",,,2,Chiesi commits to reduce absolute scope 3 GHG emissions from use of sold products 90% by 2035 from a 2019 base year,x,,
Chiesi Farmaceutici S.p.A.,"['2030', '2035']",,,3,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Chinachem Group,['2030'],,,0,Chinachem Group commits to reduce scope 1 and 2 GHG emissions 51,,,
Chinachem Group,['2030'],,,1,8% per square meter by 2030 from a 2020 base year,x,,
Chinachem Group,['2030'],,,2,"Chinachem Group also commits to reduce scope 3 GHG emissions from capital goods, waste generated in operations, downstream leased assets 20% per square meter within the same timeframe",,,
"Chipotle Mexican Grill, Inc.",['2030'],,,0,Chipotle Mexican Grill commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year,x,,
"Chipotle Mexican Grill, Inc.",['2030'],,,1,Chipotle Mexican Grill also commits to reduce absolute scope 3 GHG emissions 50% within the same timeframe,,,
Chiquita Brands International Sàrl,"['2030', '2025']",,,0,Chiquita (covering Chiquita Brands International Sàrl and Chiquita Fresh North America LLC) commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2019 base year,x,,
Chiquita Brands International Sàrl,"['2030', '2025']",,,1,* Chiquita also commits that 90% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution will have science-based targets by 2025,x,,
Chiquita Brands International Sàrl,"['2030', '2025']",,,2,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Choice Properties REIT,['2030'],['2050'],['2050'],0,Overall Net-Zero Target,,,
Choice Properties REIT,['2030'],['2050'],['2050'],1,Choice Properties REIT commits to reach net-zero greenhouse gas emissions across the value chain by 2050 from a 2019 base year,,x,x
Choice Properties REIT,['2030'],['2050'],['2050'],2,Near-Term Targets,,,
Choice Properties REIT,['2030'],['2050'],['2050'],3,Choice Properties REIT commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year,x,,
Choice Properties REIT,['2030'],['2050'],['2050'],4,Choice Properties REIT also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and downstream leased assets 30% within the same timeframe,,,
Choice Properties REIT,['2030'],['2050'],['2050'],5,Long-Term Targets,,,
Choice Properties REIT,['2030'],['2050'],['2050'],6,Choice Properties REIT commits to reduce absolute scope 1 and 2 emissions 90% by 2050 from a 2019 base year,,x,x
Choice Properties REIT,['2030'],['2050'],['2050'],7,Choice Properties REIT also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe,,,
Chr. Hansen A/S,"['FY2030', '2030']",,,0,Chr,,,
Chr. Hansen A/S,"['FY2030', '2030']",,,1,Hansen Holding A/S commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a FY2020 base year,x,,
Chr. Hansen A/S,"['FY2030', '2030']",,,2,Chr,,,
Chr. Hansen A/S,"['FY2030', '2030']",,,3,Hansen Holding A/S also commits to reduce absolute scope 3 GHG emissions 20% within the same timeframe,,,
Christie's International plc,['2030'],,,0,"Christie's commits to reduce absolute scope 1, 2, and 3 GHG emissions 50% by 2030 from a 2019 base year",x,,
Christie's International plc,['2030'],,,1,"Within this target, Christie’s commits to reduce absolute scope 1 and 2 GHG emissions 80% by 2030 from a 2019 base year, and absolute scope 3 GHG emissions 46% within the same timeframe",x,,
ChuSanRen (Central Japan Industries Association),['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
ChuSanRen (Central Japan Industries Association),['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ ChuSanRen (Central Japan Industries Association) commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"Chugai Pharmaceutical Co., Ltd.",['2030'],,,0,Chugai Pharmaceutical Co,,,
"Chugai Pharmaceutical Co., Ltd.",['2030'],,,1,", Ltd",,,
"Chugai Pharmaceutical Co., Ltd.",['2030'],,,2,commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2019 base year,x,,
"Chugai Pharmaceutical Co., Ltd.",['2030'],,,3,Chugai Pharmaceutical Co,,,
"Chugai Pharmaceutical Co., Ltd.",['2030'],,,4,", Ltd",,,
"Chugai Pharmaceutical Co., Ltd.",['2030'],,,5,commits to increase annual sourcing of renewable electricity from 0% in 2019 to 100% by 2025,,,
"Chugai Pharmaceutical Co., Ltd.",['2030'],,,6,Chugai Pharmaceutical Co,,,
"Chugai Pharmaceutical Co., Ltd.",['2030'],,,7,", Ltd",,,
"Chugai Pharmaceutical Co., Ltd.",['2030'],,,8,also commits to reduce absolute scope 3 GHG emissions 30% by 2030 from a 2019 base year,x,,
"Chuko Electric Co., Ltd.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"Chuko Electric Co., Ltd.",['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Chuko Electric Co,,,
"Chuko Electric Co., Ltd.",['2030'],,,2,", Ltd",,,
"Chuko Electric Co., Ltd.",['2030'],,,3,"commits to reduce  scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Church & Dwight Co. Inc.,['2030'],,,0,Church & Dwight commits to reduce absolute scope 1 and 2 GHG emissions 46,,,
Church & Dwight Co. Inc.,['2030'],,,1,2% by 2031 from a 2020 base year,,,
Church & Dwight Co. Inc.,['2030'],,,2,Church & Dwight commits to continue annually sourcing 100% renewable electricity through 2030,x,,
Church & Dwight Co. Inc.,['2030'],,,3,"Church & Dwight commits that 75% of its suppliers by emissions covering purchased goods and services, capital goods, and upstream transportation and distribution will have science-based targets by 2026",,,
"Cisco Systems, Inc.","['FY2030', '2030']","['FY2040', '2040']","['FY2040', '2040']",0,Overall Net-Zero Target,,,
"Cisco Systems, Inc.","['FY2030', '2030']","['FY2040', '2040']","['FY2040', '2040']",1,Cisco commits to reach net-zero greenhouse gas emissions across the value chain by FY2040  from a FY2019 base year,,x,x
"Cisco Systems, Inc.","['FY2030', '2030']","['FY2040', '2040']","['FY2040', '2040']",2,Near-Term Targets,,,
"Cisco Systems, Inc.","['FY2030', '2030']","['FY2040', '2040']","['FY2040', '2040']",3,Cisco commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2030 from a FY2019 base year,x,,
